"title","date","copies"
"Tonkin","1897","159"
"Monnaie : Bronze, fonds celtique, Carnutes","300","158"
"Monnaie : Bronze, Atelier Iranien Incertain, Mithridate II","620/294","156"
"Famiglie celebri di Italia","[18..]","155"
"Monnaie : Bronze, fonds celtique, Sénons","300","154"
"Monnaie : Argent, fonds celtique, Lingons et peuples voisins","300","154"
"Monnaie : Bronze, Crète, Gortyne","620/294","154"
"Monnaie : Trésor de la Jeanne-Elisabeth (1755), Espagne, Ferdinand VI, 4 réaux, 1752, Potosi","1752","153"
"Monnaie : Bronze, fonds celtique, Bellovaques","300","152"
"Première partie de l'enregistrement",,"152"
"Monnaie : Bronze, Pergame, Mysie","133/294","151"
"[Vignette, fumé pour l'illustration de : Cervantes Saavedra, Miguel de, ""L'ingénieux hidalgo Don Quichotte de la Manche"", Tome 2] : [estampe]","1863","150"
"Monnaie : Argent, fonds celtique, Boïens","300","149"
"Monnaie : tétradrachme, Ptolémée II Philadelphe, Tyr, Phénicie","274/274","149"
"Monnaie : Bronze, Clazomènes, Ionie","620/294","148"
"Monnaie : Denier, Argent, Incertain, Maurétanie, Juba II","620/294","147"
"Drachme : Argent","- 620","146"
"Monnaie : Hecté, Électrum, Mytilène, Éolide, Lesbos","620/294","146"
"Monnaie : Bronze, fonds celtique, Suessions","300","145"
"monnaie : Vienne","1000/1700","145"
"Monnaie : Trésor de la Jeanne-Elisabeth (1755), Espagne, Ferdinand VI, 4 réaux, 1753, Potosi","1753","145"
"Monnaie : Drachme, Argent, Incertain, Bactriane, Ménandre I Sôter","620/294","145"
"RFI magazines","2003","144"
"[Monnaie ou médaille de la Révolution française]","1792","144"
"Monnaie : drachme, types d'Alexandre, Lampsaque, Mysie","310/301","143"
"monnaie : Normandie","1000/1700","142"
"Monnaie : Bronze, Thessalonique, Macédoine","620/294","142"
"Vue d'une photographie d'un portrait d'homme","1901-1950","141"
"Monnaie : Bronze, Syracuse, Sicile, Hiéron II","620/294","141"
"Monnaie : Drachme, Argent, Dyrrhachion, Illyrie","620/294","141"
"Questions sur diverses branches des sciences médicales","1843","140"
"[Figure de femme représentée debout] : [dessin]","[S.d.]","139"
"Monnaie : Bronze, Alexandrie, Troade","620/294","139"
"Monnaie : Bronze, Alexandrie, Égypte, Dioclétien","620/294","139"
"Monnaie : Bronze, Séleucie du Tigre, Mésopotamie, Artaban II","620/294","139"
"[Maquette de costume pour un spectacle non identifié] : [maquette de costume]","[17..]","138"
"[Sans titre]","1861/1904","138"
"Monnaie : Bronze, Incertain, Characène, Attambélos Iv","620/294","138"
"Monnaie : Bronze, Ionie, Chios","620/294","137"
"Monnaie : Bronze, Antioche Sur L'Oronte, Séleucide Et Piérie","620/294","137"
"Monnaie : Module C (Hoover), Philippe II de Macédoine, atelier incertain,","359/294","136"
"Monnaie : Bronze, Suse, Élymaïde, Kamnaskirès Iv","620/294","136"
"Monnaie : Bronze, Aptera, Crète","620/294","136"
"Monnaie : Potin, fonds celtique, Leuques","300","135"
"Monnaie : Pays-Bas, Ypres, maille","1100/1300","135"
"Monnaie : Bronze, Apamée Kibotos, Phrygie","620/294","135"
"[Louis XIV] : [estampe]","1602","134"
"Monnaie : Tétradrachme, Argent, Athènes","620/294","133"
"Monnaie : Trésor de la Jeanne-Elisabeth (1755), Espagne, Ferdinand VI, 8 réaux, 1755, Lima","1755","133"
"Monnaie : Statère, Argent, Crotone, Bruttium","620/294","132"
"Génération 3","1994","131"
"Monnaie : Monnaies kouchanes, Sôter Mégas, didrachme Attique","1/350","131"
"Monnaie : Unité, bronze, Carthage, Zeugitane","400/350","131"
"monnaie : Île-de-France","1000/1700","129"
"Monnaie : Aurelianus, Dioclétien et Maximien Hercule, Lyon","290/291","129"
"Monnaie : Bronze, Incertain, Maurétanie, Massinissa","620/294","129"
"Monnaie : Potin, fonds celtique, Attribution incertaine","300","128"
"[Sans titre] : [estampe]","1995","127"
"Monnaie : Module C (Hoover), Aigai ou Pella, Macédoine, Amyntas III de Macédoine","393/369","127"
"Monnaie : Module D (SC), Suse, Élymaïde, Démétrios I Sôter","162/150","126"
"Monnaie : Bronze, Sardes, Lydie","620/294","126"
"Nus féminins","1901-1950","126"
"Monnaie : Bronze, Alexandrie, Égypte, Maximien Hercule","620/294","126"
"[Recueil. Invitations]","1989","124"
"Monnaie : Bronze, Mytilène, Éolide, Lesbos","620/294","124"
"Monnaie : Bronze, Lacédémone","620/294","124"
"Monnaie : Bronze, Éphèse, Ionie","620/294","123"
"Monnaie : Trésor de la Jeanne-Elisabeth (1755), Espagne, Ferdinand VI, 4 réaux, 1750, Potosi","1750","122"
"Monnaie : Trésor de la Jeanne-Elisabeth (1755), Espagne, Ferdinand VI, 4 réaux, 1751, Potosi","1751","122"
"[Recueil. Documents d'information]","1987","122"
"Monnaie : Bronze, Sicyonie, Sicyone","620/294","122"
"Monnaie : Bronze, Phraatès IV, Élymaïde, Incertain","620/294","122"
"Monnaie : Tétradrachme, Argent, Alexandrie, Égypte, Ptolémée II","620/294","121"
"Monnaie : Bronze, Sicile, Syracuse","620/294","121"
"Monnaie : Tétradrachme, Argent, Alexandrie, Égypte, Ptolémée I","620/294","120"
"[Sans titre] : [estampe]","1994","119"
"[Nouvel Opéra. Plan]","1860/1865","119"
"Monnaie : Tétradrachme, Billon, Maximien Hercule, Égypte, Alexandrie","620/294","119"
"La preuve par cinq","1995","119"
"Monnaie : Bronze, Ptolémée V , Égypte, Alexandrie","620/294","119"
"Monnaie : Trésor de la Jeanne-Elisabeth (1755), Espagne, 4 réaux, roi, millésime et atelier indéterminés","1600/1755","118"
"Monnaie : Drachme, Bronze, Suse, Élymaïde, Artaban II","620/294","118"
"Monnaie : Argent, fonds celtique, Tolosates, monnaies à la croix","300","117"
"Monnaie : Potin, fonds celtique, Turons ?","300","116"
"Monnaie : Tétradrachme, Billon, Probus, Égypte, Alexandrie","620/294","115"
"[Recueil. Documents d'information]","1989","115"
"Monnaie : Monnaies romaines -- Empire romain","[S.d.]","115"
"Monnaie : Bronze, Laodicée Sur Mer, Séleucide Et Piérie","620/294","115"
"Monnaie : Didrachme, Argent, Néapolis, Campanie","326/290","115"
"Monnaie : Bronze, Corinthe, Corinthie","620/294","113"
"Monnaie : Bronze, Alexandrie, Égypte, Domitien","81/96","112"
"Monnaie : Tétradrachme, Billon, Alexandrie, Égypte, Antonin Le Pieux","620/294","111"
"CAP automobile","2001","111"
"Monnaie : Aurelianus, Dioclétien et Maximien Hercule, Lyon","287/289","110"
"Monnaie : Shekel, bronze, Carthage, Zeugitane","300/264","110"
"Monnaie : Bronze, fonds celtique, Attribution incertaine","300","109"
"[Chansons politiques...]","1873","109"
"Monnaie : Bronze, Panticapée, Chersonnèse Taurique","620/294","109"
"Monnaie : Trésor de Fécamp, Charles Le Chauve (types immobilisés), denier, Tours","900/1000","108"
"[Monnaie ou médaille de la Révolution française]","1791","107"
"Monnaie : Bronze, Laodicée du Lycos, Phrygie","620/294","107"
"[Recueil. Documents d'information]","1986","106"
